job_title,experience_years,position_level_raw,main_tech_raw,salary_original,currency_original,currency_detected,salary_original_numeric,salary_mid,salary_date,source_name,work_mode,city,average_salary,location,source,Title,Company,Clean_Location,Job_Type,Skills,Min_Experience_Years,Min_Salary,Max_Salary,Avg_Salary
front end engineer,0.5,junior,"Front end (Angular, React, Vue, ect..)",12000.0,EGP - Egyptian Pound,EGP,12000.0,12000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,6.0,senior,"Front end (Angular, React, Vue, ect..)",3000.0,USD - United States Dollar,USD,3000.0,150000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",18000.0,EGP - Egyptian Pound,EGP,18000.0,18000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,1.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",12.5,EGP - Egyptian Pound,EGP,12.5,12.5,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,0.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",15000.0,EGP - Egyptian Pound,EGP,15000.0,15000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,senior,"Front end (Angular, React, Vue, ect..)",30000.0,EGP - Egyptian Pound,EGP,30000.0,30000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",400.0,USD - United States Dollar,USD,400.0,20000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,mid sernior,"Front end (Angular, React, Vue, ect..)",50.0,EGP - Egyptian Pound,EGP,50.0,50.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,1.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",9000.0,EGP - Egyptian Pound,EGP,9000.0,9000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,mid sernior,"Front end (Angular, React, Vue, ect..)",600.0,USD - United States Dollar,USD,600.0,30000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,6.0,senior,"Front end (Angular, React, Vue, ect..)",50000.0,EGP - Egyptian Pound,EGP,50000.0,50000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,7.0,senior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",1200.0,USD - United States Dollar,USD,1200.0,60000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,2.5,senior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",1500.0,USD - United States Dollar,USD,1500.0,75000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
"tester (manual, automation, api, selenium, playwright, ect..)",1.5,junior,"Tester (Manual, Automation, API, Selenium, Playwright, ect..)",20000.0,EGP - Egyptian Pound,EGP,20000.0,20000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,2.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",14400.0,EGP - Egyptian Pound,EGP,14400.0,14400.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,0.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",1000.0,USD - United States Dollar,USD,1000.0,50000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,mid sernior,"Front end (Angular, React, Vue, ect..)",20000.0,EGP - Egyptian Pound,EGP,20000.0,20000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",25000.0,EGP - Egyptian Pound,EGP,25000.0,25000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,mid sernior,"Front end (Angular, React, Vue, ect..)",13000.0,EGP - Egyptian Pound,EGP,13000.0,13000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,0.5,junior,"Front end (Angular, React, Vue, ect..)",6000.0,EGP - Egyptian Pound,EGP,6000.0,6000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,0.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",10000.0,EGP - Egyptian Pound,EGP,10000.0,10000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,4.0,senior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",1500.0,USD - United States Dollar,USD,1500.0,75000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",25.0,EGP - Egyptian Pound,EGP,25.0,25.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",9000.0,EGP - Egyptian Pound,EGP,9000.0,9000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,senior,"Front end (Angular, React, Vue, ect..)",2100.0,USD - United States Dollar,USD,2100.0,105000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,4.0,mid sernior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",1100.0,JD,JOD,1100.0,77000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,mid sernior,"Front end (Angular, React, Vue, ect..)",500.0,USD - United States Dollar,USD,500.0,25000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,mid sernior,"Front end (Angular, React, Vue, ect..)",16000.0,EGP - Egyptian Pound,EGP,16000.0,16000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,senior,"Front end (Angular, React, Vue, ect..)",2000.0,USD - United States Dollar,USD,2000.0,100000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,0.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",250.0,USD - United States Dollar,USD,250.0,12500.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,0.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",13000.0,EGP - Egyptian Pound,EGP,13000.0,13000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,0.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",8000.0,EGP - Egyptian Pound,EGP,8000.0,8000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,1.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",80000.0,Rupees,RUPEES,80000.0,80000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,mid sernior,"Front end (Angular, React, Vue, ect..)",40000.0,EGP - Egyptian Pound,EGP,40000.0,40000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,0.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",12000.0,EGP - Egyptian Pound,EGP,12000.0,12000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,2.5,mid sernior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",900.0,USD - United States Dollar,USD,900.0,45000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,mid sernior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",20000.0,EGP - Egyptian Pound,EGP,20000.0,20000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,mid sernior,"Front end (Angular, React, Vue, ect..)",1000.0,USD - United States Dollar,USD,1000.0,50000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,6.0,mid sernior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",2600.0,USD - United States Dollar,USD,2600.0,130000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
"tester (manual, automation, api, selenium, playwright, ect..)",4.0,senior,"Tester (Manual, Automation, API, Selenium, Playwright, ect..)",70000.0,EGP - Egyptian Pound,EGP,70000.0,70000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,0.5,junior,"Front end (Angular, React, Vue, ect..)",344.0,USD - United States Dollar,USD,344.0,17200.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,mid sernior,"Front end (Angular, React, Vue, ect..)",40000.0,EGP - Egyptian Pound,EGP,40000.0,40000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,mid sernior,"Front end (Angular, React, Vue, ect..)",23.0,EGP - Egyptian Pound,EGP,23.0,23.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",14000.0,EGP - Egyptian Pound,EGP,14000.0,14000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,7.0,tech / team lead,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",80000.0,EGP - Egyptian Pound,EGP,80000.0,80000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",8000.0,EGP - Egyptian Pound,EGP,8000.0,8000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",3500.0,EGP - Egyptian Pound,EGP,3500.0,3500.0,,Teammate_developers_2025,,,,,,,,,,,,,,
"tester (manual, automation, api, selenium, playwright, ect..)",1.5,junior,"Tester (Manual, Automation, API, Selenium, Playwright, ect..)",17000.0,EGP - Egyptian Pound,EGP,17000.0,17000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,senior,"Front end (Angular, React, Vue, ect..)",50000.0,EGP - Egyptian Pound,EGP,50000.0,50000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,4.0,mid sernior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",750.0,USD - United States Dollar,USD,750.0,37500.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,6.0,senior,"Front end (Angular, React, Vue, ect..)",2400.0,USD - United States Dollar,USD,2400.0,120000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",6500.0,EGP - Egyptian Pound,EGP,6500.0,6500.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,2.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",2.0,AED - United Arab Emirates Dirham,AED,2.0,27.2,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,0.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",12000.0,EGP - Egyptian Pound,EGP,12000.0,12000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,mid sernior,"Front end (Angular, React, Vue, ect..)",18000.0,EGP - Egyptian Pound,EGP,18000.0,18000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,1.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",20000.0,EGP - Egyptian Pound,EGP,20000.0,20000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
"tester (manual, automation, api, selenium, playwright, ect..)",2.5,mid sernior,"Tester (Manual, Automation, API, Selenium, Playwright, ect..)",30.0,EGP - Egyptian Pound,EGP,30.0,30.0,,Teammate_developers_2025,,,,,,,,,,,,,,
"tester (manual, automation, api, selenium, playwright, ect..)",2.5,mid sernior,"Tester (Manual, Automation, API, Selenium, Playwright, ect..)",1850.0,USD - United States Dollar,USD,1850.0,92500.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,4.0,mid sernior,"Front end (Angular, React, Vue, ect..)",35000.0,EGP - Egyptian Pound,EGP,35000.0,35000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,7.0,senior,"Front end (Angular, React, Vue, ect..)",26000.0,EGP - Egyptian Pound,EGP,26000.0,26000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,4.0,mid sernior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",39000.0,EGP - Egyptian Pound,EGP,39000.0,39000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",21000.0,EGP - Egyptian Pound,EGP,21000.0,21000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",719.0,EUR - Euro,EUR,719.0,39545.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,0.5,junior,"Front end (Angular, React, Vue, ect..)",13000.0,EGP - Egyptian Pound,EGP,13000.0,13000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,15.0,tech / team lead,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",78000.0,EGP - Egyptian Pound,EGP,78000.0,78000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",9000.0,EGP - Egyptian Pound,EGP,9000.0,9000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",19250.0,EGP - Egyptian Pound,EGP,19250.0,19250.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,2.5,junior,"Front end (Angular, React, Vue, ect..)",600.0,USD - United States Dollar,USD,600.0,30000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",17000.0,EGP - Egyptian Pound,EGP,17000.0,17000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,6.0,tech / team lead,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",70500.0,EGP - Egyptian Pound,EGP,70500.0,70500.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,7.0,senior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",1900.0,USD - United States Dollar,USD,1900.0,95000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,0.5,junior,"Front end (Angular, React, Vue, ect..)",4000.0,EGP - Egyptian Pound,EGP,4000.0,4000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,7.0,tech / team lead,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",5000.0,USD - United States Dollar,USD,5000.0,250000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,7.0,mid sernior,"Front end (Angular, React, Vue, ect..)",12.0,EGP - Egyptian Pound,EGP,12.0,12.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,4.0,senior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",72000.0,EGP - Egyptian Pound,EGP,72000.0,72000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
front end engineer,1.5,junior,"Front end (Angular, React, Vue, ect..)",15000.0,EGP - Egyptian Pound,EGP,15000.0,15000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,6.0,senior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",75000.0,EGP - Egyptian Pound,EGP,75000.0,75000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,0.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",360.0,USD - United States Dollar,USD,360.0,18000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,1.5,junior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",260.0,USD - United States Dollar,USD,260.0,13000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,1.5,junior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",30000.0,EGP - Egyptian Pound,EGP,30000.0,30000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,7.0,tech / team lead,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",65000.0,EGP - Egyptian Pound,EGP,65000.0,65000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
full stack engineer,6.0,senior,"Full Stack (MERN, MEAN, LAMP, JAMstack, ect..)",1200.0,EUR - Euro,EUR,1200.0,66000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
back end engineer,4.0,senior,"Back End (Laravel, Spring Boot, Flask, Node, ect..)",3000.0,USD - United States Dollar,USD,3000.0,150000.0,,Teammate_developers_2025,,,,,,,,,,,,,,
